date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2017-07-03,sh.603690,17.0000,17.2000,16.9000,17.1400,17.0300,1461714,24974223.0000,3,2.810988,1,0.645911,0
2017-07-04,sh.603690,17.1400,17.5800,17.1000,17.2500,17.1400,2850467,49495159.0000,3,5.481667,1,0.641777,0
2017-07-05,sh.603690,17.1200,17.5400,17.1200,17.4000,17.2500,2794800,48578598.0000,3,5.374615,1,0.869563,0
2017-07-06,sh.603690,17.4800,18.4900,17.1100,17.9800,17.4000,5725713,101346739.0000,3,11.010987,1,3.333333,0
2017-07-07,sh.603690,17.8100,18.8000,17.5500,18.7000,17.9800,8581321,156603414.0000,3,16.502540,1,4.004456,0
2017-07-10,sh.603690,18.4800,18.4800,17.5000,17.6700,18.7000,5366418,96389781.0000,3,10.320035,1,-5.508025,0
2017-07-11,sh.603690,17.8500,17.8500,17.3800,17.3900,17.6700,2492200,43856795.0000,3,4.792692,1,-1.584611,0
2017-07-12,sh.603690,17.5000,17.9900,17.1500,17.8700,17.3900,2999400,52665921.0000,3,5.768077,1,2.760216,0
2017-07-13,sh.603690,17.8800,17.9900,17.5200,17.6000,17.8700,2901131,51444501.0000,3,5.579098,1,-1.510915,0
2017-07-14,sh.603690,17.4200,17.5600,17.1500,17.1800,17.6000,2068164,35820900.0000,3,3.977238,1,-2.386364,0
2017-07-17,sh.603690,17.0000,17.0000,15.4600,15.4600,17.1800,4474795,70935146.0000,3,8.605375,1,-10.011640,0
2017-07-18,sh.603690,15.3500,15.5400,14.8400,15.2700,15.4600,2484910,37622651.0000,3,4.778673,1,-1.228975,0
2017-07-19,sh.603690,15.0800,15.4800,15.0000,15.3600,15.2700,1603460,24414384.0000,3,3.083577,1,0.589386,0
2017-07-20,sh.603690,15.3500,15.7900,15.1500,15.2100,15.3600,1877060,29067372.0000,3,3.609731,1,-0.976560,0
2017-07-21,sh.603690,15.2800,15.3900,15.0200,15.0500,15.2100,1292412,19583713.0000,3,2.485408,1,-1.051939,0
2017-07-24,sh.603690,14.9200,15.5500,14.0300,15.0900,15.0500,3773934,55202134.0000,3,7.257565,1,0.265780,0
2017-07-25,sh.603690,15.0000,15.0200,14.7200,14.8400,15.0900,1817154,26997360.0000,3,3.494527,1,-1.656726,0
2017-07-26,sh.603690,14.8000,14.9400,14.4800,14.5500,14.8400,1547512,22655490.0000,3,2.975985,1,-1.954178,0
2017-07-27,sh.603690,14.5300,15.2000,14.4000,14.9900,14.5500,2121900,31510743.0000,3,4.080577,1,3.024052,0
2017-07-28,sh.603690,14.9900,14.9900,14.7000,14.7400,14.9900,1455720,21565279.0000,3,2.799462,1,-1.667779,0
2017-07-31,sh.603690,14.7000,14.8500,14.5500,14.6600,14.7400,1218414,17882016.0000,3,2.343104,1,-0.542740,0
2017-08-01,sh.603690,14.7300,14.8200,14.5600,14.8000,14.6600,1299164,19102166.0000,3,2.498392,1,0.954982,0
2017-08-02,sh.603690,14.8200,14.8500,14.4100,14.4500,14.8000,1347406,19726013.0000,3,2.591165,1,-2.364867,0
2017-08-03,sh.603690,14.4900,14.8600,14.4900,14.6600,14.4500,2301212,33897656.0000,3,4.425408,1,1.453287,0
2017-08-04,sh.603690,14.6700,14.8300,14.6000,14.7400,14.6600,2008117,29522425.0000,3,3.861763,1,0.545702,0
2017-08-07,sh.603690,15.0000,15.2400,14.8100,14.9000,14.7400,2442339,36735365.0000,3,4.696806,1,1.085481,0
2017-08-08,sh.603690,14.9000,14.9900,14.5000,14.7100,14.9000,1540224,22577971.0000,3,2.961969,1,-1.275165,0
2017-08-09,sh.603690,14.7000,14.7800,14.5200,14.7300,14.7100,1301154,19059068.0000,3,2.502219,1,0.135959,0
2017-08-10,sh.603690,14.8400,14.9500,14.6400,14.9300,14.7300,2410620,35726912.0000,3,4.635808,1,1.357778,0
2017-08-11,sh.603690,14.9800,15.2000,14.6500,15.0400,14.9300,3009742,44966437.0000,3,5.787965,1,0.736769,0
2017-08-14,sh.603690,15.0200,15.6900,14.9300,15.3900,15.0400,4224014,64627769.0000,3,8.123104,1,2.327130,0
2017-08-15,sh.603690,15.3500,15.5000,15.0900,15.3600,15.3900,3151231,48185638.0000,3,6.060060,1,-0.194936,0
2017-08-16,sh.603690,15.5800,15.5800,15.2600,15.4300,15.3600,3035212,46736023.0000,3,5.836946,1,0.455733,0
2017-08-17,sh.603690,15.4200,15.7300,15.4000,15.4300,15.4300,2861760,44401895.0000,3,5.503385,1,0.000000,0
2017-08-18,sh.603690,15.3500,15.3500,14.9400,15.1400,15.4300,2867742,43252122.0000,3,5.514888,1,-1.879455,0
2017-08-21,sh.603690,15.1400,15.3700,14.9500,15.2700,15.1400,2355960,35637273.0000,3,4.530692,1,0.858653,0
2017-08-22,sh.603690,15.2700,15.8000,15.0500,15.6000,15.2700,4247454,65574252.0000,3,8.168181,1,2.161100,0
2017-08-23,sh.603690,15.4600,15.6400,15.2700,15.3200,15.6000,2166175,33389346.0000,3,4.165721,1,-1.794876,0
2017-08-24,sh.603690,15.3000,15.5200,15.2100,15.2300,15.3200,2116577,32515502.0000,3,4.070340,1,-0.587468,0
2017-08-25,sh.603690,15.2300,15.9800,15.2300,15.7400,15.2300,4615218,72392093.0000,3,8.875419,1,3.348656,0
2017-08-28,sh.603690,15.8800,16.9600,15.7600,16.5500,15.7400,6616132,108406858.0000,3,12.723331,1,5.146121,0
2017-08-29,sh.603690,16.5000,16.9400,16.2600,16.7300,16.5500,6811305,113514717.0000,3,13.098663,1,1.087615,0
2017-08-30,sh.603690,16.3800,16.6800,16.2800,16.3100,16.7300,3091636,50806762.0000,3,5.945454,1,-2.510461,0
2017-08-31,sh.603690,16.5000,17.9400,16.5000,17.9400,16.3100,12611951,220796258.0000,3,24.253752,1,9.993876,0
2017-09-01,sh.603690,17.8800,19.7300,17.5500,19.7300,17.9400,16084943,302125552.0000,3,30.932583,1,9.977697,0
2017-09-04,sh.603690,20.3000,20.3000,18.7000,19.1200,19.7300,12152235,234055347.0000,3,23.369683,1,-3.091732,0
2017-09-05,sh.603690,19.3700,19.4900,18.6100,19.0300,19.1200,6319166,119634060.0000,3,12.152242,1,-0.470712,0
2017-09-06,sh.603690,18.5000,18.7600,18.4200,18.7000,19.0300,4913130,91237919.0000,3,9.448327,1,-1.734104,0
2017-09-07,sh.603690,18.7500,19.7500,18.4900,19.6700,18.7000,8362309,159858745.0000,3,16.081363,1,5.187162,0
2017-09-08,sh.603690,19.4600,19.4800,18.6900,18.9500,19.6700,4498630,85791666.0000,3,8.651212,1,-3.660393,0
2017-09-11,sh.603690,18.7600,19.2700,18.5700,19.1000,18.9500,3430450,64893468.0000,3,6.597019,1,0.791555,0
2017-09-12,sh.603690,19.1000,19.2700,17.9500,18.1300,19.1000,5363006,99547427.0000,3,10.313473,1,-5.078540,0
2017-09-13,sh.603690,18.1600,18.7000,18.1200,18.3200,18.1300,2569454,47284068.0000,3,4.941258,1,1.047990,0
2017-09-14,sh.603690,18.4600,19.0400,18.2800,18.8000,18.3200,3815542,71107617.0000,3,7.337581,1,2.620085,0
2017-09-15,sh.603690,18.7800,18.9400,18.1200,18.3400,18.8000,2357366,43786844.0000,3,4.533396,1,-2.446804,0
2017-09-18,sh.603690,18.3500,18.5000,18.0000,18.4300,18.3400,2100300,38258108.0000,3,4.039038,1,0.490731,0
2017-09-19,sh.603690,18.2900,19.8400,18.2900,19.1600,18.4300,6164208,118320776.0000,3,11.854246,1,3.960931,0
2017-09-20,sh.603690,19.1700,21.0800,18.9300,21.0800,19.1600,9607697,195750664.0000,3,18.476340,1,10.020880,0
2017-09-21,sh.603690,22.1000,22.6600,21.5100,21.9700,21.0800,14948075,329453022.0000,3,28.746298,1,4.222009,0
2017-09-22,sh.603690,21.8000,24.0000,21.3000,22.1900,21.9700,13442075,300445158.0000,3,25.850144,1,1.001371,0
2017-09-25,sh.603690,21.8000,21.9200,20.2600,20.7900,22.1900,9494460,199117144.0000,3,18.258577,1,-6.309146,0
2017-09-26,sh.603690,20.5000,20.8800,19.6800,20.0700,20.7900,5665159,114331121.0000,3,10.894537,1,-3.463209,0
2017-09-27,sh.603690,19.8100,20.9000,19.8100,20.8000,20.0700,5682967,116253334.0000,3,10.928783,1,3.637267,0
2017-09-28,sh.603690,21.0000,21.1800,20.4700,20.6200,20.8000,5298459,110026170.0000,3,10.189344,1,-0.865377,0
2017-09-29,sh.603690,20.1400,20.6000,19.7200,20.0600,20.6200,5235801,104695613.0000,3,10.068848,1,-2.715816,0
2017-10-09,sh.603690,20.1600,21.4100,19.7500,21.3000,20.0600,7127657,147821508.0000,3,13.707033,1,6.181455,0
2017-10-10,sh.603690,21.1500,22.2800,20.6600,21.9700,21.3000,9063471,193549742.0000,3,17.429752,1,3.145540,0
2017-10-11,sh.603690,21.7100,21.9400,21.1100,21.1600,21.9700,5209206,111930402.0000,3,10.017704,1,-3.686843,0
2017-10-12,sh.603690,21.1200,21.4800,20.5800,20.9600,21.1600,3716470,77748611.0000,3,7.147058,1,-0.945183,0
2017-10-13,sh.603690,20.8100,21.4800,20.5000,21.3500,20.9600,3838687,80920843.0000,3,7.382090,1,1.860693,0
2017-10-16,sh.603690,21.2300,21.9500,20.5000,20.7000,21.3500,4689366,99698171.0000,3,9.018012,1,-3.044495,0
2017-10-17,sh.603690,20.8700,20.8700,19.8000,19.9800,20.7000,3078502,61807494.0000,3,5.920196,1,-3.478267,0
2017-10-18,sh.603690,19.9800,20.3600,18.6800,19.1200,19.9800,4285100,83280012.0000,3,8.240577,1,-4.304298,0
2017-10-19,sh.603690,19.1800,19.4000,18.8800,19.0400,19.1200,2337600,44697577.0000,3,4.495385,1,-0.418410,0
2017-10-20,sh.603690,19.0500,19.2900,18.8500,19.2800,19.0400,1641506,31404419.0000,3,3.156742,1,1.260503,0
2017-10-23,sh.603690,19.2400,19.7900,19.0300,19.7200,19.2800,1755101,34000760.0000,3,3.375194,1,2.282151,0
2017-10-24,sh.603690,19.5800,19.5900,19.0100,19.1100,19.7200,1684206,32402684.0000,3,3.238858,1,-3.093300,0
2017-10-25,sh.603690,19.2200,19.7900,19.1800,19.4400,19.1100,2364686,46063219.0000,3,4.547473,1,1.726844,0
2017-10-26,sh.603690,19.4400,19.7500,19.2700,19.6200,19.4400,1810512,35400481.0000,3,3.481754,1,0.925928,0
2017-10-27,sh.603690,19.6100,19.6100,19.0000,19.0200,19.6200,2069000,39729248.0000,3,3.978846,1,-3.058106,0
2017-10-30,sh.603690,19.0500,19.0500,18.1200,18.3600,19.0200,2326000,42655157.0000,3,4.473077,1,-3.470031,0
2017-10-31,sh.603690,18.4500,19.4000,18.3700,19.2700,18.3600,2653931,50622384.0000,3,5.103713,1,4.956426,0
2017-11-01,sh.603690,19.2800,21.2000,19.2000,20.7500,19.2700,7416524,151923819.0000,3,14.262546,1,7.680330,0
2017-11-02,sh.603690,20.9600,21.1000,20.3000,20.4300,20.7500,5082784,104985373.0000,3,9.774585,1,-1.542167,0
2017-11-03,sh.603690,20.6600,21.6100,20.5000,21.4100,20.4300,7284011,154965706.0000,3,14.007713,1,4.796865,0
2017-11-06,sh.603690,21.4800,22.3200,21.1000,21.1900,21.4100,9270852,202668102.0000,3,17.828562,1,-1.027554,0
